app_id,name,manager,workload,size,spill_memory_MB,spill_disk_MB
app-20251207173427-0035,ShuffleTest-sort-sort-skew-64m,sort,sort,skew,6708.480415344238,551.9518060684204
app-20251207173255-0034,ShuffleTest-sort-sort-64m,sort,sort,64m,270.08013916015625,31.032511711120605
app-20251207173210-0033,ShuffleTest-sort-reduce-64m,sort,reduce,64m,0.0,0.0
app-20251207172946-0032,ShuffleTest-hash-sort-skew-64m,hash,sort,skew,6696.960502624512,551.6631956100464
app-20251207172815-0031,ShuffleTest-hash-sort-64m,hash,sort,64m,270.08013916015625,31.032511711120605
app-20251207172740-0030,ShuffleTest-hash-reduce-64m,hash,reduce,64m,0.0,0.0
app-20251207172623-0029,ShuffleTest-sort-sort-skew-32m,sort,sort,skew,3326.720245361328,275.4678544998169
app-20251207172532-0028,ShuffleTest-sort-sort-32m,sort,sort,32m,0.0,0.0
app-20251207172503-0027,ShuffleTest-sort-reduce-32m,sort,reduce,32m,0.0,0.0
app-20251207172345-0026,ShuffleTest-hash-sort-skew-32m,hash,sort,skew,3330.56014251709,275.2753963470459
app-20251207172252-0025,ShuffleTest-hash-sort-32m,hash,sort,32m,263.0401077270508,30.98759365081787
app-20251207172228-0024,ShuffleTest-hash-reduce-32m,hash,reduce,32m,0.0,0.0
app-20251207172146-0023,ShuffleTest-sort-sort-skew-16m,sort,sort,skew,1644.7999725341797,137.42678260803223
app-20251207172117-0022,ShuffleTest-sort-sort-16m,sort,sort,16m,0.0,0.0
app-20251207172056-0021,ShuffleTest-sort-reduce-16m,sort,reduce,16m,0.0,0.0
app-20251207172013-0020,ShuffleTest-hash-sort-skew-16m,hash,sort,skew,1349.7602005004883,114.53841590881348
app-20251207171945-0019,ShuffleTest-hash-sort-16m,hash,sort,16m,0.0,0.0
app-20251207171926-0018,ShuffleTest-hash-reduce-16m,hash,reduce,16m,0.0,0.0
app-20251207171903-0017,ShuffleTest-sort-sort-skew-8m,sort,sort,skew,536.3200073242188,45.6071891784668
app-20251207171845-0016,ShuffleTest-sort-sort-8m,sort,sort,8m,0.0,0.0
app-20251207171823-0015,ShuffleTest-sort-reduce-8m,sort,reduce,8m,0.0,0.0
app-20251207171802-0014,ShuffleTest-hash-sort-skew-8m,hash,sort,skew,536.3200073242188,45.577216148376465
app-20251207171744-0013,ShuffleTest-hash-sort-8m,hash,sort,8m,0.0,0.0
app-20251207171731-0012,ShuffleTest-hash-reduce-8m,hash,reduce,8m,0.0,0.0
app-20251207171714-0011,ShuffleTest-sort-sort-skew-4m,sort,sort,skew,0.0,0.0
app-20251207171701-0010,ShuffleTest-sort-sort-4m,sort,sort,4m,0.0,0.0
app-20251207171646-0009,ShuffleTest-sort-reduce-4m,sort,reduce,4m,0.0,0.0
app-20251207171630-0008,ShuffleTest-hash-sort-skew-4m,hash,sort,skew,0.0,0.0
app-20251207171612-0007,ShuffleTest-hash-sort-4m,hash,sort,4m,0.0,0.0
app-20251207171559-0006,ShuffleTest-hash-reduce-4m,hash,reduce,4m,0.0,0.0
app-20251207171548-0005,ShuffleTest-sort-sort-skew-2m,sort,sort,skew,0.0,0.0
app-20251207171534-0004,ShuffleTest-sort-sort-2m,sort,sort,2m,0.0,0.0
app-20251207171522-0003,ShuffleTest-sort-reduce-2m,sort,reduce,2m,0.0,0.0
app-20251207171510-0002,ShuffleTest-hash-sort-skew-2m,hash,sort,skew,0.0,0.0
app-20251207171456-0001,ShuffleTest-hash-sort-2m,hash,sort,2m,0.0,0.0
app-20251207171444-0000,ShuffleTest-hash-reduce-2m,hash,reduce,2m,0.0,0.0
